New_Customer_ID,Email,Cluster_S1,Cluster_S2
26389,Ebony39@gmail.com,Cluster 1,Cluster 2
44896,Mark36@gmail.com,Cluster 1,Cluster 2
54610,Shane85@gmail.com,Cluster 1,Cluster 2
45231,Mary34@gmail.com,Cluster 3,Cluster 2
19522,Charles30@gmail.com,Cluster 3,Cluster 1
30429,Haley12@gmail.com,Cluster 1,Cluster 2
13993,Arthur76@gmail.com,Cluster 1,Cluster 2
57908,Tanya94@gmail.com,Cluster 3,Cluster 1
45081,Martin39@gmail.com,Cluster 1,Cluster 2
34666,Jessica33@gmail.com,Cluster 1,Cluster 2
44898,Mark38@gmail.com,Cluster 3,Cluster 1
23755,David47@gmail.com,Cluster 4,Cluster 1
19520,Charles29@gmail.com,Cluster 3,Cluster 2
41527,Laura72@gmail.com,Cluster 3,Cluster 1
27368,Eric76@gmail.com,Cluster 1,Cluster 2
32127,Jacob26@gmail.com,Cluster 3,Cluster 1
13379,Anne45@gmail.com,Cluster 3,Cluster 1
33974,Jennifer1@gmail.com,Cluster 1,Cluster 2
48707,Nicole72@gmail.com,Cluster 3,Cluster 1
33671,Jeff99@gmail.com,Cluster 1,Cluster 2
49115,Oscar54@gmail.com,Cluster 1,Cluster 2
25144,Diana25@gmail.com,Cluster 3,Cluster 1
49804,Paula49@gmail.com,Cluster 3,Cluster 1
20439,Christine23@gmail.com,Cluster 3,Cluster 2
58659,Thomas4@gmail.com,Cluster 3,Cluster 1
49017,Olivia95@gmail.com,Cluster 1,Cluster 2
20863,Claire78@gmail.com,Cluster 1,Cluster 2
50652,Rachel75@gmail.com,Cluster 3,Cluster 2
32500,James3@gmail.com,Cluster 3,Cluster 1
27202,Emily94@gmail.com,Cluster 4,Cluster 1
55767,Sheryl18@gmail.com,Cluster 1,Cluster 2
20568,Christopher4@gmail.com,Cluster 3,Cluster 1
24722,Derrick51@gmail.com,Cluster 3,Cluster 1
56954,Steven94@gmail.com,Cluster 3,Cluster 2
20238,Christian61@gmail.com,Cluster 1,Cluster 2
23025,Daniel66@gmail.com,Cluster 3,Cluster 1
20334,Christina19@gmail.com,Cluster 3,Cluster 1
42498,Lindsey16@gmail.com,Cluster 1,Cluster 2
39987,Kimberly48@gmail.com,Cluster 1,Cluster 2
15740,Bonnie80@gmail.com,Cluster 1,Cluster 2
42667,Lisa7@gmail.com,Cluster 3,Cluster 2
30919,Heather92@gmail.com,Cluster 4,Cluster 1
12238,Amber67@gmail.com,Cluster 3,Cluster 2
49468,Patricia51@gmail.com,Cluster 3,Cluster 1
46286,Melissa70@gmail.com,Cluster 1,Cluster 2
30581,Hannah73@gmail.com,Cluster 3,Cluster 1
36817,Joshua69@gmail.com,Cluster 3,Cluster 2
30498,Haley88@gmail.com,Cluster 4,Cluster 2
12180,Amber14@gmail.com,Cluster 1,Cluster 2
53944,Sara74@gmail.com,Cluster 3,Cluster 1
22978,Daniel23@gmail.com,Cluster 1,Cluster 2
23013,Daniel55@gmail.com,Cluster 4,Cluster 1
30214,Gregory3@gmail.com,Cluster 1,Cluster 2
59524,Tonya57@gmail.com,Cluster 1,Cluster 2
12732,Andrew57@gmail.com,Cluster 1,Cluster 2
16132,Brandon73@gmail.com,Cluster 3,Cluster 1
13788,April67@gmail.com,Cluster 1,Cluster 2
58055,Taylor13@gmail.com,Cluster 3,Cluster 1
26982,Elizabeth40@gmail.com,Cluster 1,Cluster 2
61673,Wendy95@gmail.com,Cluster 3,Cluster 1
35920,John63@gmail.com,Cluster 1,Cluster 2
56593,Stephanie24@gmail.com,Cluster 1,Cluster 2
39378,Kelsey82@gmail.com,Cluster 3,Cluster 1
34736,Jessica97@gmail.com,Cluster 3,Cluster 1
51818,Richard53@gmail.com,Cluster 1,Cluster 2
46636,Michael69@gmail.com,Cluster 3,Cluster 1
44277,Margaret59@gmail.com,Cluster 3,Cluster 1
62423,Zachary50@gmail.com,Cluster 1,Cluster 2
